id;arg;result
2;662381.380810493254;813.868159354138
3;906874.792104333523;952.299738582519
5;253337.211562717101;503.326148300202
7;61906.393758344850;248.809955102976
9;266786.316499787325;516.513616954856
13;479451.791375195375;692.424574502664
16;706910.834807205130;840.779896766809
19;532805.272920748917;729.935115555314
22;361603.129119967867;601.334456953839
29;112586.527677874255;335.539159678679
32;274527.347554883163;523.953573854481
34;290793.312292672636;539.252549639473
36;932776.567159924773;965.803586222336
39;257342.329949414911;507.289197548514
43;935343.220367282629;967.131439033642
46;226114.765759055357;475.515263434367
49;745686.467009372194;863.531393181147
53;335091.493025968492;578.870877679961
56;770095.756607021671;877.550999433663
59;23053.319913312622;151.833197665440
63;297463.973040906363;545.402578872622
67;703136.571788266418;838.532391615414
70;540940.708175795851;735.486715159285
72;11976.725187564161;109.438225440493
75;49632.151403788019;222.782744851993
77;196940.997088752047;443.780347794663
82;972850.839828454889;986.332012979633
84;761683.533782494836;872.744827416637
87;805559.359362649266;897.529586900983
88;88685.958051702270;297.801877179615
89;54387.325590930697;233.210903670756
94;539095.351891145343;734.231129748082
95;651249.815353549900;807.000505175523
98;730268.462068218621;854.557465632487
100;234881.267051996110;484.645506583932
103;727182.820891785668;852.750151504991
106;534992.366351891076;731.431723643356
112;209170.964637137775;457.352123245468
113;438920.693898575322;662.510900965845
116;220255.949434850656;469.314339685941
118;646594.274130111793;804.110859353430
120;663788.808477024897;814.732353891157
123;670186.333407242550;818.649090518790
127;109232.125784662436;330.502837786096
132;826689.886074470473;909.224882014604
136;52502.178167577251;229.133537849825
139;298643.780483809067;546.483101736741
142;442541.716602688015;665.238090162228
145;506146.364268122416;711.439642041489
153;292236.409733074252;540.588947105908
156;985246.942717591184;992.596062211407
159;150548.096247693436;388.005278633801
162;240373.740990479215;490.279247970459
164;858739.489622875000;926.681978686796
168;956145.187457360211;977.826767611401
171;684110.137185587664;827.109507372263
174;789248.054259363329;888.396338499525
178;310757.504520743154;557.456280367118
180;730147.750931282877;854.486834849597
183;320890.338294405083;566.471833628474
185;616962.095146333100;785.469347044385
188;373028.001774304139;610.760183520753
191;675144.233173378627;821.671609083202
194;350946.221785812115;592.407141909863
196;578343.028824321693;760.488677643738
200;126858.096004575928;356.171441871153
204;282028.952070350351;531.063981145728
207;187106.139986457536;432.557672439708
210;118941.004008209013;344.878245194169
213;119130.293972754254;345.152566226523
216;728544.286450597574;853.548057493307
219;348206.314043167280;590.090089768645
222;531584.411385915242;729.098355083808
225;970649.256967450492;985.215335329008
227;733468.578096697340;856.427800866306
230;784980.820720340940;885.991433773680
232;179803.531057164335;424.032464626430
235;65866.211570947489;256.644134105862
239;86278.057776854010;293.731267959089
242;820940.957838101778;906.057921900196
244;698885.962378049036;835.993996616034
246;77998.818661558951;279.282685932299
248;422378.022891115223;649.906164681576
253;265335.740585300780;515.107503910883
255;818371.580485988990;904.638922712255
258;567362.209739968646;753.234498506254
260;549308.586129409727;741.153550979424
262;294477.444428208109;542.657759944708
265;600143.576644332381;774.689342023196
268;893189.248024596018;945.086899721182
272;638482.020284709171;799.050699445729
275;586329.565079604625;765.721597631675
277;983702.302610729705;991.817676093106
283;500240.899933877226;707.277102650635
285;68988.294833298263;262.656229382245
287;626203.332770589855;791.330103541240
289;724147.355835223803;850.968481105631
291;944299.506483250065;971.750742980550
293;27335.467105204145;165.334409924868
295;383787.185727151809;619.505597817447
